Image,Method,Metric,Value
./assets/standard_test_images/astronaut.png,benchmark_custom,CC,0.9946599872553602
./assets/standard_test_images/astronaut.png,benchmark,CC,0.9946599872553602
./assets/standard_test_images/astronaut.png,bicubic,CC,0.9946599872553602
./assets/standard_test_images/astronaut.png,dlr,CC,0.9941583307793961
./assets/standard_test_images/astronaut.png,lanczos,CC,0.9946599872553602
./assets/standard_test_images/astronaut.png,linear,CC,0.9946599872553602
./assets/standard_test_images/astronaut.png,nearest,CC,0.9946599872553602
./assets/standard_test_images/astronaut.png,benchmark_custom,LMSE,39.51374053955078
./assets/standard_test_images/astronaut.png,benchmark,LMSE,39.51374053955078
./assets/standard_test_images/astronaut.png,bicubic,LMSE,39.51374053955078
./assets/standard_test_images/astronaut.png,dlr,LMSE,86.85003280639648
./assets/standard_test_images/astronaut.png,lanczos,LMSE,39.51374053955078
./assets/standard_test_images/astronaut.png,linear,LMSE,39.51374053955078
./assets/standard_test_images/astronaut.png,nearest,LMSE,39.51374053955078
./assets/standard_test_images/astronaut.png,benchmark_custom,MSE,83.24668884277344
./assets/standard_test_images/astronaut.png,benchmark,MSE,83.24668884277344
./assets/standard_test_images/astronaut.png,bicubic,MSE,83.24668884277344
./assets/standard_test_images/astronaut.png,dlr,MSE,89.04696655273438
./assets/standard_test_images/astronaut.png,lanczos,MSE,83.24668884277344
./assets/standard_test_images/astronaut.png,linear,MSE,83.24668884277344
./assets/standard_test_images/astronaut.png,nearest,MSE,83.24668884277344
./assets/standard_test_images/astronaut.png,benchmark_custom,NAE,0.044786541300221326
./assets/standard_test_images/astronaut.png,benchmark,NAE,0.044786541300221326
./assets/standard_test_images/astronaut.png,bicubic,NAE,0.044786541300221326
./assets/standard_test_images/astronaut.png,dlr,NAE,0.04556120476696676
./assets/standard_test_images/astronaut.png,lanczos,NAE,0.044786541300221326
./assets/standard_test_images/astronaut.png,linear,NAE,0.044786541300221326
./assets/standard_test_images/astronaut.png,nearest,NAE,0.044786541300221326
./assets/standard_test_images/astronaut.png,benchmark_custom,PSNR,28.927133925143043
./assets/standard_test_images/astronaut.png,benchmark,PSNR,28.927133925143043
./assets/standard_test_images/astronaut.png,bicubic,PSNR,28.927133925143043
./assets/standard_test_images/astronaut.png,dlr,PSNR,28.63461231362276
./assets/standard_test_images/astronaut.png,lanczos,PSNR,28.927133925143043
