PSNR:
Method,astronaut.png,brick.png,chelsea.png,color.png,moon.png,page.png,text.png
affine_transform,26.32991580917985,28.49577560226998,25.715048435765404,46.74019982085686,30.836665322279345,19.001332304646688,27.66326478620433
benchmark_custom,24.30326497696518,26.097051939684988,24.796541363070972,43.407322414502076,30.38161601617205,17.42187354262814,25.87546563941553
benchmark,27.82613745593487,29.82918315030325,26.330671555179087,44.62018775626297,33.840152942904915,18.61216465410527,30.72572491510663
bicubic,27.321790144176802,29.508754479644868,25.913680840991717,44.5426727567358,33.46055057629904,17.955412014614218,30.274797071971783
lanczos,27.257312393375468,29.4870978914407,25.8488982680969,44.53345834318466,33.35789701995668,17.846129497311672,30.1828158462332
linear,27.82613745593487,29.82918315030325,26.330671555179087,44.62018775626297,33.840152942904915,18.61216465410527,30.72572491510663
nearest,26.449793899640206,28.732351108091684,25.55468423166947,44.28508327608945,32.36212789917206,17.735584354441208,29.01823164558575
proposed_algorithm,25.893100799504786,28.156388627251445,26.10190649378334,44.64786026043211,32.471913364196176,17.511129821326776,27.818809980309855

NAE:
Method,astronaut.png,brick.png,chelsea.png,color.png,moon.png,page.png,text.png
affine_transform,0.05181208767032256,0.046124474329371,0.0707691061705527,0.013397416226964338,0.01856804318778324,0.10770048476954898,0.04552447031088935
benchmark_custom,0.07889461212381614,0.07283305720830047,0.08669024212523455,0.021167064452639505,0.025945873426867695,0.13698064178703026,0.06797664795317389
benchmark,0.053291160118798184,0.048925028520678,0.07274694297047797,0.01852266728172747,0.01793283873085993,0.12075040222701984,0.040350523530605836
bicubic,0.056484836671071216,0.05051064169190195,0.07718780611597198,0.018561492036275933,0.019543884237005142,0.13122935543110142,0.043842032018605856
lanczos,0.05733686414082962,0.05119539116929801,0.07822209458289475,0.018571365986198136,0.020415824155768467,0.13369705215693295,0.045315959141845094
linear,0.053291160118798184,0.048925028520678,0.07274694297047797,0.01852266728172747,0.01793283873085993,0.12075040222701984,0.040350523530605836
nearest,0.0584285036030372,0.05049804985661903,0.07762219112393798,0.0187876342485718,0.01893499505330662,0.13121481854068368,0.04703682851100248
