target,execution time in ns
./build/affine_transform__b,155358952
./build/affine_transform__b took about 0.155 s on average,
./build/benchmark_custom__b,180585636
./build/benchmark_custom__b took about 0.181 s on average,
./build/benchmark__b,189617706
./build/benchmark__b took about 0.19 s on average,
./build/bicubic__b,211912491
./build/bicubic__b took about 0.212 s on average,
./build/lanczos__b,272964838
./build/lanczos__b took about 0.273 s on average,
./build/linear__b,195172422
./build/linear__b took about 0.195 s on average,
./build/nearest__b,191022257
./build/nearest__b took about 0.191 s on average,
./build/proposed_algorithm__b,181108142
./build/proposed_algorithm__b took about 0.181 s on average,
