target,execution time in ns
./build/affine_transform__b,164767649
./build/affine_transform__b took about 0.165 s on average,
./build/benchmark_custom__b,160818487
./build/benchmark_custom__b took about 0.161 s on average,
./build/benchmark__b,194068723
./build/benchmark__b took about 0.194 s on average,
./build/bicubic__b,178430594
./build/bicubic__b took about 0.178 s on average,
./build/lanczos__b,271364161
./build/lanczos__b took about 0.271 s on average,
./build/linear__b,178015342
./build/linear__b took about 0.178 s on average,
./build/nearest__b,165505062
./build/nearest__b took about 0.166 s on average,
./build/proposed_algorithm__b,158218333
./build/proposed_algorithm__b took about 0.158 s on average,
