target,execution time in ns
./build/affine_transform__b,139644304
./build/affine_transform__b took about 0.14 s on average,
./build/benchmark_custom__b,134482089
./build/benchmark_custom__b took about 0.134 s on average,
./build/benchmark__b,166318259
./build/benchmark__b took about 0.166 s on average,
./build/bicubic__b,184378263
./build/bicubic__b took about 0.184 s on average,
./build/lanczos__b,201373075
./build/lanczos__b took about 0.201 s on average,
./build/linear__b,159933128
./build/linear__b took about 0.16 s on average,
./build/nearest__b,148563221
./build/nearest__b took about 0.149 s on average,
./build/proposed_algorithm__b,136504349
./build/proposed_algorithm__b took about 0.137 s on average,
