target,execution time in ns
./build/affine_transform__b,110592591
./build/affine_transform__b took about 0.111 s on average,
./build/benchmark_custom__b,120124992
./build/benchmark_custom__b took about 0.12 s on average,
./build/benchmark__b,186830127
./build/benchmark__b took about 0.187 s on average,
./build/bicubic__b,164123471
./build/bicubic__b took about 0.164 s on average,
./build/lanczos__b,182768067
./build/lanczos__b took about 0.183 s on average,
./build/linear__b,149661550
./build/linear__b took about 0.15 s on average,
./build/nearest__b,136612578
./build/nearest__b took about 0.137 s on average,
./build/proposed_algorithm__b,117939150
./build/proposed_algorithm__b took about 0.118 s on average,
