target,execution time in ns
./build/affine_transform__b,144415897
./build/affine_transform__b took about 0.144 s on average,
./build/benchmark_custom__b,155821736
./build/benchmark_custom__b took about 0.156 s on average,
./build/benchmark__b,191544163
./build/benchmark__b took about 0.192 s on average,
./build/bicubic__b,175894422
./build/bicubic__b took about 0.176 s on average,
./build/lanczos__b,253352296
./build/lanczos__b took about 0.253 s on average,
./build/linear__b,174554262
./build/linear__b took about 0.175 s on average,
./build/nearest__b,158382851
./build/nearest__b took about 0.158 s on average,
./build/proposed_algorithm__b,150169949
./build/proposed_algorithm__b took about 0.15 s on average,
