target,execution time in ns
./build/affine_transform__b,92955872
./build/affine_transform__b took about 0.093 s on average,
./build/benchmark_custom__b,111362119
./build/benchmark_custom__b took about 0.111 s on average,
./build/benchmark__b,140301648
./build/benchmark__b took about 0.14 s on average,
./build/bicubic__b,129342284
./build/bicubic__b took about 0.129 s on average,
./build/lanczos__b,187037097
./build/lanczos__b took about 0.187 s on average,
./build/linear__b,129669692
./build/linear__b took about 0.13 s on average,
./build/nearest__b,124184848
./build/nearest__b took about 0.124 s on average,
./build/proposed_algorithm__b,101994375
./build/proposed_algorithm__b took about 0.102 s on average,
