target,execution time in ns
./build/affine_transform__b,84738101
./build/affine_transform__b took about 0.085 s on average,
./build/benchmark_custom__b,101168960
./build/benchmark_custom__b took about 0.101 s on average,
./build/benchmark__b,126479363
./build/benchmark__b took about 0.126 s on average,
./build/bicubic__b,136952233
./build/bicubic__b took about 0.137 s on average,
./build/lanczos__b,155984366
./build/lanczos__b took about 0.156 s on average,
./build/linear__b,156011651
./build/linear__b took about 0.156 s on average,
./build/nearest__b,123367077
./build/nearest__b took about 0.123 s on average,
./build/proposed_algorithm__b,100721463
./build/proposed_algorithm__b took about 0.101 s on average,
