target,execution time in ns
./build/affine_transform__b,170678151
./build/affine_transform__b took about 0.171 s on average,
./build/benchmark_custom__b,214170075
./build/benchmark_custom__b took about 0.214 s on average,
./build/benchmark__b,160352315
./build/benchmark__b took about 0.16 s on average,
./build/bicubic__b,122755452
./build/bicubic__b took about 0.123 s on average,
./build/dlr__b,125613123
./build/dlr__b took about 0.126 s on average,
./build/lanczos__b,358506584
./build/lanczos__b took about 0.359 s on average,
./build/linear__b,126939584
./build/linear__b took about 0.127 s on average,
./build/nearest__b,105877002
./build/nearest__b took about 0.106 s on average,
