target,execution time in ns
./build/affine_transform__b,98381035
./build/affine_transform__b took about 0.098 s on average,
./build/benchmark_custom__b,128579567
./build/benchmark_custom__b took about 0.129 s on average,
./build/benchmark__b,150739505
./build/benchmark__b took about 0.151 s on average,
./build/bicubic__b,155967099
./build/bicubic__b took about 0.156 s on average,
./build/dlr__b,128028330
./build/dlr__b took about 0.128 s on average,
./build/lanczos__b,232671995
./build/lanczos__b took about 0.233 s on average,
./build/linear__b,151343002
./build/linear__b took about 0.151 s on average,
./build/nearest__b,141614288
./build/nearest__b took about 0.142 s on average,
