target,execution time in ns
./build/affine_transform__b,146069266
./build/affine_transform__b took about 0.146 s on average,
./build/benchmark_custom__b,138437112
./build/benchmark_custom__b took about 0.138 s on average,
./build/benchmark__b,183759691
./build/benchmark__b took about 0.184 s on average,
./build/bicubic__b,175629872
./build/bicubic__b took about 0.176 s on average,
./build/dlr__b,146814584
./build/dlr__b took about 0.147 s on average,
./build/lanczos__b,272465527
./build/lanczos__b took about 0.272 s on average,
./build/linear__b,180542777
./build/linear__b took about 0.181 s on average,
./build/nearest__b,156300901
./build/nearest__b took about 0.156 s on average,
