target,execution time in ns
./build/affine_transform__b,82286449
./build/affine_transform__b took about 0.082 s on average,
./build/benchmark_custom__b,112085196
./build/benchmark_custom__b took about 0.112 s on average,
./build/benchmark__b,149621424
./build/benchmark__b took about 0.15 s on average,
./build/bicubic__b,148782198
./build/bicubic__b took about 0.149 s on average,
./build/dlr__b,123140575
./build/dlr__b took about 0.123 s on average,
./build/lanczos__b,225407719
./build/lanczos__b took about 0.225 s on average,
./build/linear__b,148876763
./build/linear__b took about 0.149 s on average,
./build/nearest__b,145716502
./build/nearest__b took about 0.146 s on average,
