target,execution time in ns
./build/benchmark_custom__b,218302906
./build/benchmark_custom__b took about 0.218 s on average,
./build/benchmark__b,241795503
./build/benchmark__b took about 0.242 s on average,
./build/bicubic__b,329640736
./build/bicubic__b took about 0.33 s on average,
./build/dlr__b,220830640
./build/dlr__b took about 0.221 s on average,
./build/lanczos__b,344416584
./build/lanczos__b took about 0.344 s on average,
./build/linear__b,279051514
./build/linear__b took about 0.279 s on average,
./build/nearest__b,238670994
./build/nearest__b took about 0.239 s on average,
