target,execution time in ns
./build/benchmark_custom__b,126708813
./build/benchmark_custom__b took about 0.127 s on average,
./build/benchmark__b,121987165
./build/benchmark__b took about 0.122 s on average,
./build/bicubic__b,139433839
./build/bicubic__b took about 0.139 s on average,
./build/dlr__b,123312787
./build/dlr__b took about 0.123 s on average,
./build/lanczos__b,159596564
./build/lanczos__b took about 0.16 s on average,
./build/linear__b,109254943
./build/linear__b took about 0.109 s on average,
./build/nearest__b,111132409
./build/nearest__b took about 0.111 s on average,
