target,execution time in ns
./build/benchmark_custom__b,78600374
./build/benchmark_custom__b took about 0.079 s on average,
./build/benchmark__b,75022310
./build/benchmark__b took about 0.075 s on average,
./build/bicubic__b,69567299
./build/bicubic__b took about 0.07 s on average,
./build/dlr__b,105717240
./build/dlr__b took about 0.106 s on average,
./build/lanczos__b,101037213
./build/lanczos__b took about 0.101 s on average,
./build/linear__b,71311905
./build/linear__b took about 0.071 s on average,
./build/nearest__b,67272403
./build/nearest__b took about 0.067 s on average,
