target,execution time in ns
./build/benchmark_custom__b,151364322
./build/benchmark_custom__b took about 0.151 s on average,
./build/benchmark__b,174895438
./build/benchmark__b took about 0.175 s on average,
./build/bicubic__b,186403295
./build/bicubic__b took about 0.186 s on average,
./build/dlr__b,162647100
./build/dlr__b took about 0.163 s on average,
./build/lanczos__b,215423052
./build/lanczos__b took about 0.215 s on average,
./build/linear__b,178298987
./build/linear__b took about 0.178 s on average,
./build/nearest__b,163333063
./build/nearest__b took about 0.163 s on average,
