target,execution time in ns
./build/benchmark_custom__b,108073769
./build/benchmark_custom__b took about 0.108 s on average,
./build/benchmark__b,143866516
./build/benchmark__b took about 0.144 s on average,
./build/bicubic__b,134161380
./build/bicubic__b took about 0.134 s on average,
./build/dlr__b,110129517
./build/dlr__b took about 0.11 s on average,
./build/lanczos__b,188826396
./build/lanczos__b took about 0.189 s on average,
./build/linear__b,138863045
./build/linear__b took about 0.139 s on average,
./build/nearest__b,141322806
./build/nearest__b took about 0.141 s on average,
