target,execution time in ns
./build/benchmark_custom__b,1432122007
./build/benchmark_custom__b,1538645975
./build/benchmark_custom__b,2023782944
./build/benchmark_custom__b,2070279130
./build/benchmark_custom__b,2092854262
./build/benchmark_custom__b,2184083656
./build/benchmark_custom__b,2234408151
./build/benchmark_custom__b,1839188368
./build/benchmark_custom__b,1552946806
./build/benchmark_custom__b,1226630630
./build/benchmark_custom__b,1523831450
./build/benchmark_custom__b,1966851173
./build/benchmark_custom__b,1889568899
./build/benchmark_custom__b,2012094684
./build/benchmark_custom__b,1985195616
./build/benchmark_custom__b,1916590045
./build/benchmark_custom__b,1727521785
./build/benchmark_custom__b,1555578316
./build/benchmark_custom__b,1273810446
./build/benchmark_custom__b,1601818540
./build/benchmark_custom__b,1827225131
./build/benchmark_custom__b,2195093365
./build/benchmark_custom__b,2271398670
./build/benchmark_custom__b,2374959621
./build/benchmark_custom__b,2315935063
./build/benchmark_custom__b,2046587796
./build/benchmark_custom__b,1659929966
./build/benchmark_custom__b,1327794737
./build/benchmark_custom__b,1753757838
./build/benchmark_custom__b,1895317607
./build/benchmark_custom__b,2104924922
./build/benchmark_custom__b,2145295141
./build/benchmark_custom__b,2067356524
./build/benchmark_custom__b,1974451285
./build/benchmark_custom__b,1994819586
./build/benchmark_custom__b,1595882930
./build/benchmark_custom__b,1277034257
./build/benchmark_custom__b took about 1.851 s on average,
./build/benchmark__b,1480341988
./build/benchmark__b,1719258817
./build/benchmark__b,2203002181
./build/benchmark__b,2309785841
./build/benchmark__b,2212209388
./build/benchmark__b,2200199127
./build/benchmark__b,2108003035
./build/benchmark__b,1964849881
./build/benchmark__b,1702490044
./build/benchmark__b,1497490803
./build/benchmark__b,1740441499
./build/benchmark__b,1953201542
./build/benchmark__b,2132641720
./build/benchmark__b,2209597185
./build/benchmark__b,2534655540
./build/benchmark__b,2171338284
./build/benchmark__b,1896179998
./build/benchmark__b,1642622486
./build/benchmark__b,1371669777
./build/benchmark__b,1674390659
./build/benchmark__b,1875462379
./build/benchmark__b,2056816845
./build/benchmark__b,2156181555
./build/benchmark__b,2139527383
./build/benchmark__b,2057866973
./build/benchmark__b,1899728525
./build/benchmark__b,1634127381
./build/benchmark__b,1363324982
./build/benchmark__b,1635809014
./build/benchmark__b,1879233135
./build/benchmark__b,2133659019
./build/benchmark__b,2469772223
./build/benchmark__b,2188743784
./build/benchmark__b,2357606513
./build/benchmark__b,1886564299
./build/benchmark__b,1626392377
./build/benchmark__b,1320934845
./build/benchmark__b took about 1.93 s on average,
./build/bicubic__b,1241729228
./build/bicubic__b,1576434644
./build/bicubic__b,1857479531
./build/bicubic__b,2008644634
./build/bicubic__b,2102821613
./build/bicubic__b,2109265948
./build/bicubic__b,2010064240
./build/bicubic__b,1868309401
./build/bicubic__b,1634076641
./build/bicubic__b,1348980070
./build/bicubic__b,1567454872
./build/bicubic__b,1899829602
./build/bicubic__b,2018157555
./build/bicubic__b,2107295545
./build/bicubic__b,2121379047
./build/bicubic__b,2017132385
./build/bicubic__b,1822231690
./build/bicubic__b,1577662825
./build/bicubic__b,1284132700
./build/bicubic__b,1689288483
./build/bicubic__b,1964406815
./build/bicubic__b,2035202126
./build/bicubic__b,2149074809
./build/bicubic__b,2406392370
./build/bicubic__b,2032635713
./build/bicubic__b,1828042670
./build/bicubic__b,1579472518
./build/bicubic__b,1450513356
./build/bicubic__b,1577980353
./build/bicubic__b,1817177456
./build/bicubic__b,2190127249
./build/bicubic__b,2308433023
./build/bicubic__b,2147736417
./build/bicubic__b,2006634476
./build/bicubic__b,1822346526
./build/bicubic__b,1625174887
./build/bicubic__b,1341461397
./build/bicubic__b took about 1.842 s on average,
./build/dlr__b,1403133642
./build/dlr__b,1773052712
./build/dlr__b,1800067546
./build/dlr__b,1918566014
./build/dlr__b,2011164361
./build/dlr__b,2035368854
./build/dlr__b,1955101681
./build/dlr__b,1866903323
./build/dlr__b,1963296454
./build/dlr__b,1303112496
./build/dlr__b,1517108268
./build/dlr__b,1705380702
./build/dlr__b,1850542208
./build/dlr__b,2152428963
./build/dlr__b,1911125522
./build/dlr__b,1812390514
./build/dlr__b,1804310805
./build/dlr__b,1499666169
./build/dlr__b,1301521854
./build/dlr__b,1508978345
./build/dlr__b,1691549830
./build/dlr__b,1820769844
./build/dlr__b,2211242332
./build/dlr__b,2173330400
./build/dlr__b,1837913395
./build/dlr__b,1700537139
./build/dlr__b,1530299215
./build/dlr__b,1280816164
./build/dlr__b,1510706683
./build/dlr__b,1703984314
./build/dlr__b,1827850413
./build/dlr__b,2007963821
./build/dlr__b,1883117762
./build/dlr__b,1915202702
./build/dlr__b,1686752398
./build/dlr__b,1505364476
./build/dlr__b,1226309787
./build/dlr__b took about 1.746 s on average,
./build/lanczos__b,2722823977
./build/lanczos__b,2986756107
./build/lanczos__b,3298839310
./build/lanczos__b,3399534567
./build/lanczos__b,3512096457
./build/lanczos__b,3584033584
./build/lanczos__b,3469529109
./build/lanczos__b,3246838786
./build/lanczos__b,2964938613
./build/lanczos__b,2704622272
./build/lanczos__b,3007496767
./build/lanczos__b,3300006214
./build/lanczos__b,3411916956
./build/lanczos__b,3502215025
./build/lanczos__b,3532101790
./build/lanczos__b,3414907376
./build/lanczos__b,3486820172
./build/lanczos__b,3084095557
./build/lanczos__b,2923606777
./build/lanczos__b,3087343188
./build/lanczos__b,3261008341
./build/lanczos__b,3482926856
./build/lanczos__b,3723133574
./build/lanczos__b,3772788919
./build/lanczos__b,3438461132
./build/lanczos__b,3260888065
./build/lanczos__b,3031200367
./build/lanczos__b,2720297751
./build/lanczos__b,3041453308
./build/lanczos__b,3289749583
./build/lanczos__b,3454419544
