target,execution time in ns
./build/benchmark_custom__b,144284393
./build/benchmark_custom__b took about 0.144 s on average,
./build/benchmark__b,166277211
./build/benchmark__b took about 0.166 s on average,
./build/bicubic__b,163043035
./build/bicubic__b took about 0.163 s on average,
./build/dlr__b,147804470
./build/dlr__b took about 0.148 s on average,
./build/lanczos__b,246433754
./build/lanczos__b took about 0.246 s on average,
./build/linear__b,164307767
./build/linear__b took about 0.164 s on average,
./build/nearest__b,153417018
./build/nearest__b took about 0.153 s on average,
