target,execution time in ns
./build/benchmark_custom__b,92903197
./build/benchmark_custom__b took about 0.093 s on average,
./build/benchmark__b,125098004
./build/benchmark__b took about 0.125 s on average,
./build/bicubic__b,112796810
./build/bicubic__b took about 0.113 s on average,
./build/dlr__b,91176287
./build/dlr__b took about 0.091 s on average,
./build/lanczos__b,171088845
./build/lanczos__b took about 0.171 s on average,
./build/linear__b,120037780
./build/linear__b took about 0.12 s on average,
./build/nearest__b,106856820
./build/nearest__b took about 0.107 s on average,
