target,execution time in ns
./build/benchmark_custom__b,164770904
./build/benchmark_custom__b took about 0.165 s on average,
./build/benchmark__b,199370646
./build/benchmark__b took about 0.199 s on average,
./build/bicubic__b,191370449
./build/bicubic__b took about 0.191 s on average,
./build/dlr__b,183664690
./build/dlr__b took about 0.184 s on average,
./build/lanczos__b,269891803
./build/lanczos__b took about 0.27 s on average,
./build/linear__b,215514407
./build/linear__b took about 0.216 s on average,
./build/nearest__b,182314483
./build/nearest__b took about 0.182 s on average,
