target,execution time in ns
./build/benchmark_custom__b,537247149
./build/benchmark_custom__b,528151867
./build/benchmark_custom__b,632548910
./build/benchmark_custom__b,604999550
./build/benchmark_custom__b,669399136
./build/benchmark_custom__b,560686802
./build/benchmark_custom__b,684065441
./build/benchmark_custom__b,546874467
./build/benchmark_custom__b,534211343
./build/benchmark_custom__b,472378095
./build/benchmark_custom__b,532180342
./build/benchmark_custom__b,543048430
./build/benchmark_custom__b,573535846
./build/benchmark_custom__b,572630000
./build/benchmark_custom__b,634309189
./build/benchmark_custom__b,593559811
./build/benchmark_custom__b,607938272
./build/benchmark_custom__b,533195891
./build/benchmark_custom__b,482986342
./build/benchmark_custom__b,494343312
./build/benchmark_custom__b,633405212
./build/benchmark_custom__b,590683674
./build/benchmark_custom__b,594260393
./build/benchmark_custom__b,656070505
./build/benchmark_custom__b,571172632
./build/benchmark_custom__b,542737618
./build/benchmark_custom__b,521402838
./build/benchmark_custom__b,470150484
./build/benchmark_custom__b,537493050
./build/benchmark_custom__b,547165992
./build/benchmark_custom__b,584159812
./build/benchmark_custom__b,650469751
./build/benchmark_custom__b,624563747
./build/benchmark_custom__b,601059193
./build/benchmark_custom__b,521090266
./build/benchmark_custom__b,485187961
./build/benchmark_custom__b,496377859
./build/benchmark_custom__b took about 0.567 s on average,
./build/benchmark__b,474582260
./build/benchmark__b,548117568
./build/benchmark__b,560802216
./build/benchmark__b,596391893
./build/benchmark__b,650955551
./build/benchmark__b,597464945
./build/benchmark__b,577625565
./build/benchmark__b,597167721
./build/benchmark__b,557250606
./build/benchmark__b,484107472
./build/benchmark__b,518720330
./build/benchmark__b,557435180
./build/benchmark__b,576926454
./build/benchmark__b,589746557
./build/benchmark__b,647387506
./build/benchmark__b,626127433
./build/benchmark__b,553078293
./build/benchmark__b,513588765
./build/benchmark__b,477996043
./build/benchmark__b,517529499
./build/benchmark__b,548954623
./build/benchmark__b,577808152
./build/benchmark__b,583810332
./build/benchmark__b,610646878
./build/benchmark__b,637031909
./build/benchmark__b,548694654
./build/benchmark__b,516135318
./build/benchmark__b,522342990
./build/benchmark__b,521582739
./build/benchmark__b,559148877
./build/benchmark__b,660739429
./build/benchmark__b,591537065
./build/benchmark__b,637221712
./build/benchmark__b,573500161
./build/benchmark__b,549325683
./build/benchmark__b,517778909
./build/benchmark__b,471931911
./build/benchmark__b took about 0.564 s on average,
./build/bicubic__b,459836537
./build/bicubic__b,548331016
./build/bicubic__b,538991754
./build/bicubic__b,566296421
./build/bicubic__b,578893197
./build/bicubic__b,574111855
./build/bicubic__b,567779812
./build/bicubic__b,552145328
./build/bicubic__b,503937456
./build/bicubic__b,512554464
./build/bicubic__b,541054220
./build/bicubic__b,550929367
./build/bicubic__b,565485604
./build/bicubic__b,577822945
./build/bicubic__b,583060528
./build/bicubic__b,568394204
./build/bicubic__b,539520777
./build/bicubic__b,510335254
./build/bicubic__b,459838357
./build/bicubic__b,508870442
./build/bicubic__b,536218009
./build/bicubic__b,614075414
./build/bicubic__b,672519090
./build/bicubic__b,607923507
./build/bicubic__b,568140949
./build/bicubic__b,544136659
./build/bicubic__b,535718842
./build/bicubic__b,461451463
./build/bicubic__b,507958602
./build/bicubic__b,541197854
./build/bicubic__b,564838913
./build/bicubic__b,607477278
./build/bicubic__b,581473918
./build/bicubic__b,588254422
./build/bicubic__b,551938099
./build/bicubic__b,552160824
./build/bicubic__b,492169210
./build/bicubic__b took about 0.55 s on average,
./build/dlr__b,479053266
./build/dlr__b,481029718
./build/dlr__b,505757432
./build/dlr__b,617231749
./build/dlr__b,531120143
./build/dlr__b,536926703
./build/dlr__b,575420768
./build/dlr__b,511160085
./build/dlr__b,499818249
./build/dlr__b,479714639
./build/dlr__b,482010839
./build/dlr__b,510045433
./build/dlr__b,527752771
./build/dlr__b,535640720
./build/dlr__b,533914410
./build/dlr__b,525082067
./build/dlr__b,513066486
./build/dlr__b,481918587
./build/dlr__b,478447856
./build/dlr__b,533636891
./build/dlr__b,506191687
./build/dlr__b,565791168
./build/dlr__b,575322423
./build/dlr__b,535075951
./build/dlr__b,580644740
./build/dlr__b,513199671
./build/dlr__b,552785150
./build/dlr__b,448034851
./build/dlr__b,520429112
./build/dlr__b,505624705
./build/dlr__b,564322665
./build/dlr__b,542041399
./build/dlr__b,530589166
./build/dlr__b,522199390
./build/dlr__b,566367535
./build/dlr__b,550105236
./build/dlr__b,442824932
./build/dlr__b took about 0.523 s on average,
./build/lanczos__b,705821794
./build/lanczos__b,784331165
./build/lanczos__b,788514313
./build/lanczos__b,879720441
./build/lanczos__b,861348193
./build/lanczos__b,824840950
./build/lanczos__b,824457747
./build/lanczos__b,844602180
./build/lanczos__b,780030723
./build/lanczos__b,694828744
./build/lanczos__b,738215758
./build/lanczos__b,775716117
./build/lanczos__b,793686353
./build/lanczos__b,799670809
./build/lanczos__b,865833142
./build/lanczos__b,798075755
./build/lanczos__b,822015119
./build/lanczos__b,805558504
./build/lanczos__b,716038161
./build/lanczos__b,799277056
./build/lanczos__b,793403896
./build/lanczos__b,812089662
./build/lanczos__b,827540679
./build/lanczos__b,816556958
./build/lanczos__b,818112527
./build/lanczos__b,864971595
./build/lanczos__b,762445533
./build/lanczos__b,701157208
./build/lanczos__b,740187432
./build/lanczos__b,825742926
./build/lanczos__b,813144309
./build/lanczos__b,824315095
./build/lanczos__b,805601237
./build/lanczos__b,797711798
./build/lanczos__b,781192585
./build/lanczos__b,740539014
./build/lanczos__b,734485043
./build/lanczos__b took about 0.794 s on average,
./build/linear__b,473593024
./build/linear__b,566818037
./build/linear__b,557763993
./build/linear__b,694873478
./build/linear__b,657745063
./build/linear__b,675488943
./build/linear__b,573470586
./build/linear__b,562815387
./build/linear__b,521083435
./build/linear__b,479972819
./build/linear__b,521023925
./build/linear__b,548106681
./build/linear__b,567774641
./build/linear__b,630133468
./build/linear__b,590592000
./build/linear__b,573921330
./build/linear__b,572498332
./build/linear__b,524021121
./build/linear__b,522773343
./build/linear__b,513433279
./build/linear__b,548158705
./build/linear__b,601021304
./build/linear__b,584023608
./build/linear__b,585712864
./build/linear__b,637213226
./build/linear__b,590408569
./build/linear__b,564781042
./build/linear__b,474140597
./build/linear__b,513795044
./build/linear__b,548269284
./build/linear__b,574012879
./build/linear__b,582970143
./build/linear__b,648398523
./build/linear__b,579930047
./build/linear__b,552152772
./build/linear__b,582171903
./build/linear__b,498108450
./build/linear__b took about 0.567 s on average,
./build/nearest__b,505981033
./build/nearest__b,470522204
./build/nearest__b,497968132
./build/nearest__b,532076265
./build/nearest__b,544885411
./build/nearest__b,525331913
./build/nearest__b,513338499
./build/nearest__b,506301985
./build/nearest__b,467486327
./build/nearest__b,434270716
./build/nearest__b,517701010
./build/nearest__b,536572086
./build/nearest__b,531341930
./build/nearest__b,527160653
./build/nearest__b,575288615
./build/nearest__b,569632698
./build/nearest__b,530833744
./build/nearest__b,501369208
./build/nearest__b,456889621
./build/nearest__b,478922688
./build/nearest__b,528509306
./build/nearest__b,537233986
./build/nearest__b,585767180
./build/nearest__b,545794035
./build/nearest__b,553429898
./build/nearest__b,628306457
./build/nearest__b,592954580
./build/nearest__b,516753435
./build/nearest__b,601668304
./build/nearest__b,584655889
./build/nearest__b,549999237
./build/nearest__b,613134143
./build/nearest__b,554637718
./build/nearest__b,607893147
./build/nearest__b,525269285
./build/nearest__b,506787563
./build/nearest__b,460653114
./build/nearest__b took about 0.533 s on average,
