target,execution time in ns
./build/benchmark_custom__b,134213965
./build/benchmark_custom__b took about 0.134 s on average,
./build/benchmark__b,167184345
./build/benchmark__b took about 0.167 s on average,
./build/bicubic__b,162042024
./build/bicubic__b took about 0.162 s on average,
./build/dlr__b,134427790
./build/dlr__b took about 0.134 s on average,
./build/lanczos__b,231161982
./build/lanczos__b took about 0.231 s on average,
./build/linear__b,163928264
./build/linear__b took about 0.164 s on average,
./build/nearest__b,148585770
./build/nearest__b took about 0.149 s on average,
