target,execution time in ns
./build/benchmark_custom__b,71779065
./build/benchmark_custom__b took about 0.072 s on average,
./build/benchmark__b,64969975
./build/benchmark__b took about 0.065 s on average,
./build/bicubic__b,62079146
./build/bicubic__b took about 0.062 s on average,
./build/dlr__b,75522411
./build/dlr__b took about 0.076 s on average,
./build/lanczos__b,75382174
./build/lanczos__b took about 0.075 s on average,
./build/linear__b,64629243
./build/linear__b took about 0.065 s on average,
./build/nearest__b,61493212
./build/nearest__b took about 0.061 s on average,
