target,execution time in ns
./build/benchmark_custom__b,93629320
./build/benchmark_custom__b took about 0.094 s on average,
./build/benchmark__b,95306700
./build/benchmark__b took about 0.095 s on average,
./build/bicubic__b,90324703
./build/bicubic__b took about 0.09 s on average,
./build/dlr__b,96449796
./build/dlr__b took about 0.096 s on average,
./build/lanczos__b,144000132
./build/lanczos__b took about 0.144 s on average,
./build/linear__b,87817305
./build/linear__b took about 0.088 s on average,
./build/nearest__b,80570182
./build/nearest__b took about 0.081 s on average,
