target,execution time in ns
./build/benchmark_custom__b,93114384
./build/benchmark_custom__b took about 0.093 s on average,
./build/benchmark__b,89408592
./build/benchmark__b took about 0.089 s on average,
./build/bicubic__b,86478318
./build/bicubic__b took about 0.086 s on average,
./build/dlr__b,92843144
./build/dlr__b took about 0.093 s on average,
./build/lanczos__b,145647790
./build/lanczos__b took about 0.146 s on average,
./build/linear__b,90539941
./build/linear__b took about 0.091 s on average,
./build/nearest__b,80390369
./build/nearest__b took about 0.08 s on average,
