target,execution time in ns
./build/benchmark_custom__b,1392200407
./build/benchmark_custom__b,1633089621
./build/benchmark_custom__b,1837611300
./build/benchmark_custom__b,2015594203
./build/benchmark_custom__b,2094996762
./build/benchmark_custom__b,2323080945
./build/benchmark_custom__b,1953545117
./build/benchmark_custom__b,1800516189
./build/benchmark_custom__b,1762202639
./build/benchmark_custom__b,1289508750
./build/benchmark_custom__b,1605772540
./build/benchmark_custom__b,1861833472
./build/benchmark_custom__b,2067419067
./build/benchmark_custom__b,2137445751
./build/benchmark_custom__b,2314891070
./build/benchmark_custom__b,2089688086
./build/benchmark_custom__b,1849223709
./build/benchmark_custom__b,1665962473
./build/benchmark_custom__b,1256177478
./build/benchmark_custom__b,1746791373
./build/benchmark_custom__b,1928270939
./build/benchmark_custom__b,2085716480
./build/benchmark_custom__b,2137306019
./build/benchmark_custom__b,2172616677
./build/benchmark_custom__b,2005358056
./build/benchmark_custom__b,2148129426
./build/benchmark_custom__b,1568777352
./build/benchmark_custom__b,1346322294
./build/benchmark_custom__b,1536576116
./build/benchmark_custom__b,1890017126
./build/benchmark_custom__b,1978463665
./build/benchmark_custom__b,2406386432
./build/benchmark_custom__b,2278861635
./build/benchmark_custom__b,1967991227
./build/benchmark_custom__b,1811376653
./build/benchmark_custom__b,1548741544
./build/benchmark_custom__b,1235860387
./build/benchmark_custom__b took about 1.858 s on average,
./build/benchmark__b,1296970411
./build/benchmark__b,1637211540
./build/benchmark__b,1923090348
./build/benchmark__b,2149535790
./build/benchmark__b,2291113175
./build/benchmark__b,2152284366
./build/benchmark__b,2187068056
./build/benchmark__b,2081138147
./build/benchmark__b,1833369909
./build/benchmark__b,1567763336
./build/benchmark__b,1771598793
./build/benchmark__b,1983150228
./build/benchmark__b,2158238737
./build/benchmark__b,2206603633
./build/benchmark__b,2269949020
./build/benchmark__b,2231575487
./build/benchmark__b,2166682329
./build/benchmark__b,1760845184
./build/benchmark__b,1435020984
./build/benchmark__b,1803936850
./build/benchmark__b,1949336143
./build/benchmark__b,2114424483
./build/benchmark__b,2479163538
./build/benchmark__b,2227266950
./build/benchmark__b,2086654547
./build/benchmark__b,1985780151
./build/benchmark__b,1810630737
./build/benchmark__b,1349390317
./build/benchmark__b,1661781427
./build/benchmark__b,1909492029
./build/benchmark__b,2201440057
./build/benchmark__b,2295464633
./build/benchmark__b,2216840807
./build/benchmark__b,2098835973
./build/benchmark__b,1903823183
./build/benchmark__b,1650453933
./build/benchmark__b,1319627227
./build/benchmark__b took about 1.95 s on average,
./build/bicubic__b,1282613149
./build/bicubic__b,1641164108
./build/bicubic__b,1881947425
./build/bicubic__b,2034984798
./build/bicubic__b,2164754550
./build/bicubic__b,2135310753
./build/bicubic__b,2024182635
./build/bicubic__b,1865643742
./build/bicubic__b,1608618663
./build/bicubic__b,1290310706
./build/bicubic__b,1582648129
./build/bicubic__b,1839640008
./build/bicubic__b,2027744107
./build/bicubic__b,2156207158
./build/bicubic__b,2115578631
./build/bicubic__b,2037764620
./build/bicubic__b,1951484546
./build/bicubic__b,1592437502
./build/bicubic__b,1295714395
./build/bicubic__b,1680404862
./build/bicubic__b,1860642048
./build/bicubic__b,2090972547
./build/bicubic__b,2241554475
./build/bicubic__b,2190043913
./build/bicubic__b,2002071746
./build/bicubic__b,1842482636
./build/bicubic__b,1579141140
./build/bicubic__b,1377497195
./build/bicubic__b,1635241367
./build/bicubic__b,1849494017
./build/bicubic__b,2034532079
./build/bicubic__b,2316610112
./build/bicubic__b,2132526514
./build/bicubic__b,2236828432
